timestamp,total_bytes,throughput_mbps,dst_ip_entropy,avg_fan_out
1770112195599,18248396,3.481,4.066,2.02
1770112201064,20335528,3.879,4.034,2.02
1770112205584,15577356,2.971,4.008,2.02
1770112210589,15688346,2.992,3.973,2.02
1770112215583,15559067,2.968,3.886,1.9
1770112220591,15535007,2.963,3.9,1.97
1770112225587,15687549,2.992,3.856,1.85
1770112230581,10359020,1.976,3.903,1.84
1770112235582,10720259,2.045,3.93,1.88
1770112240588,16971624,3.237,3.903,1.91
1770112245602,13267046,2.53,3.905,1.8
1770112250582,18519606,3.532,3.784,1.74
1770112255596,18014929,3.436,3.773,1.74
1770112260459,17942428,3.422,3.813,1.77
1770112265598,24121330,4.601,3.844,1.74
1770112270586,37082913,7.073,3.88,1.75
1770112275601,37131595,7.082,3.879,1.74
1770112280592,36941886,7.046,3.924,1.78
1770112285588,36933034,7.044,3.872,1.82
1770112290582,41542910,7.924,3.892,1.84
1770112295596,49630163,9.466,3.887,1.84
1770112300603,49446220,9.431,3.934,1.82
1770112305594,45428965,8.665,3.961,1.78
1770112310583,44554919,8.498,3.99,1.76
1770112315601,59389856,11.328,3.946,1.78
1770112320582,62908063,11.999,3.925,1.81
1770112352596,72805347,13.887,3.906,1.82
1770112412592,98206368,18.731,3.854,1.75
1770112433831,71684098,13.673,3.813,1.74
1770112435468,71684098,13.673,3.813,1.74
1770112443465,61758674,11.78,3.731,1.78
1770112443509,61758674,11.78,3.731,1.78
1770112461053,51411396,9.806,3.859,2.0
1770112461137,51411396,9.806,3.859,2.0
1770112465586,35867381,6.841,3.904,1.97
1770112465647,35867381,6.841,3.904,1.97
1770112470622,38538472,7.351,3.906,1.94
1770112475593,27404186,5.227,3.885,1.89
1770112480609,29034167,5.538,3.902,1.91
1770112485569,28979012,5.527,3.875,1.94
1770112487048,28979012,5.527,3.875,1.94
1770112487106,28979012,5.527,3.875,1.94
1770112492057,32408921,6.182,3.907,1.92
1770112497069,34141847,6.512,3.99,1.91
1770112502067,33819303,6.451,4.033,1.87
1770112507066,29363186,5.601,4.075,1.91
1770112512065,27293920,5.206,4.112,1.91
1770112517080,24482636,4.67,4.177,1.91
1770112520506,22257295,4.245,4.132,1.96
1770112520569,22257295,4.245,4.132,1.96
1770112521310,22257295,4.245,4.132,1.96
1770112521360,22257295,4.245,4.132,1.96
1770112523066,22203891,4.235,4.122,1.91
1770112523123,22203891,4.235,4.122,1.91
1770112527887,19364294,3.693,4.116,1.91
1770112527940,19364294,3.693,4.116,1.91
1770112530585,19364294,3.693,4.116,1.91
1770112530674,19364294,3.693,4.116,1.91
1770112535596,19352228,3.691,4.069,1.98
1770112541584,19026830,3.629,4.036,1.93
1770112546587,15326760,2.923,4.053,1.93
1770112551591,11194023,2.135,4.052,1.93
1770112555602,11196178,2.136,4.05,1.91
1770112561596,11203694,2.137,4.08,1.91
1770112565606,13739353,2.621,4.074,1.93
1770112570591,8750086,1.669,4.108,1.93
1770112576592,8740337,1.667,4.088,1.89
1770112581593,8747021,1.668,4.051,1.84
1770112585622,13692227,2.612,4.016,1.86
1770112590598,13690416,2.611,4.002,1.82
1770112596616,13606500,2.595,3.999,1.78
1770112600716,13606326,2.595,3.993,1.74
1770112606593,15309373,2.92,3.957,1.73
1770112611575,15298146,2.918,3.963,1.76
1770112616580,15287466,2.916,3.968,1.76
1770112621581,15286378,2.916,3.942,1.76
1770112626592,16812239,3.207,3.951,1.8
1770112630591,16813035,3.207,3.952,1.8
1770112636592,17349822,3.309,3.926,1.8
1770112640608,16437723,3.135,3.913,1.82
1770112646589,16422316,3.132,3.911,1.78
1770112651587,16418466,3.132,3.862,1.83
1770112656600,16410337,3.13,3.861,1.81
1770112661602,16406723,3.129,3.857,1.88
1770112666594,16406982,3.129,3.882,1.88
1770112671580,13717753,2.616,3.823,1.82
1770112676581,13719503,2.617,3.872,1.85
1770112681593,8844202,1.687,3.915,1.86
1770112686593,9023212,1.721,3.931,1.88
1770112691590,5710573,1.089,3.969,1.87
1770112696578,6586497,1.256,3.947,1.89
1770112701587,5654958,1.079,3.858,1.93
1770112712588,4660171,0.889,3.831,1.88
1770112730238,7252025,1.383,3.783,1.9
1770112730608,7252025,1.383,3.783,1.9
1770112736603,8074214,1.54,3.741,1.9
1770112741594,9265962,1.767,3.723,1.88
1770112746613,10644378,2.03,3.692,1.88
1770112751626,10829759,2.066,3.68,1.86
1770112756352,10540708,2.01,3.777,1.89
1770112761590,10071419,1.921,3.77,1.82
1770112766581,10784139,2.057,3.794,1.8
1770112771592,11012265,2.1,3.771,1.83
1770112776386,11218419,2.14,3.669,1.78
1770112781604,10476988,1.998,3.652,1.75
1770112786589,9599011,1.831,3.67,1.72
1770112791579,8069918,1.539,3.67,1.72
1770112796597,8044461,1.534,3.676,1.72
1770112801580,6266314,1.195,3.626,1.84
1770112806600,6704764,1.279,3.603,1.78
1770112811610,5999787,1.144,3.617,1.74
1770112816632,5753558,1.097,3.646,1.77
1770112821642,4767220,0.909,3.601,1.77
1770112826618,4348638,0.829,3.567,1.81
1770112831610,3436966,0.656,3.576,1.76
1770112836584,2084964,0.398,3.539,1.82
1770112892588,18235815,3.478,4.065,1.84
1770112952607,44242057,8.439,3.789,1.84
1770113012611,10023718,1.912,4.07,1.98
1770113072586,5921020,1.129,3.957,1.89
1770113076358,8901438,1.698,3.958,1.87
1770113078890,8901438,1.698,3.958,1.87
1770113078969,8901438,1.698,3.958,1.87
1770113080936,8901438,1.698,3.958,1.87
1770113081027,8901438,1.698,3.958,1.87
